region	organisationalform	subregion	country	sizeclass	generalfarmtype	principalfarmtype	farmcode	system	organicfarming	lessfavouredarea	altitudezone	structuralfunds	environmentalconstraintsarea	year	economicsize	uaaunderirrigation	commonageuaa	uaainowneroccupation	uaainsharecropping	totallabourinputawu	labourinputhours	unpaidlabourinputhours	paidlabourinputhours	totaluaa	renteduaa	cerealsuaa	otherfieldcropsuaa	energycropsuaa	vegetablesandflowersuaa	vineyardsuaa	permanentcropsuaa	orchardsuaa	olivegrovesuaa	otherpermanentcropsuaa	foragecropsuaa	agriculturalfallowsuaa	setasideuaa	woodlandarea	totallivestockunits	dairycowslus	othercattlelus	sheepandgoatslus	pigslus	poultrylus	wheatyield	maizeyield	stockingdensity	foragearea	grazinglivestock	milkyield	dairycows	dairyproducts	totaloutput	totaloutputcrops	cerealsvalue	proteincropsvalue	energycropsvalue	potatoesvalue	sugarbeetvalue	oilseedrapevalue	industrialcropsvalue	vegetablesandflowersvalue	fruitvalue	citrusfruitvalue	wineandgrapesvalue	olivesandoliveoilvalue	foragecropsvalue	othercropoutputvalue	totaloutputlivestock	changesinvalueoflivestock	cowsmilkandmilkproducts	beefandveal	pigmeat	sheepandgoats	poultrymeat	eggs	ewesandgoatsmilk	otherlivestockandproducts	otheroutput	totalinputs	totalintermediateconsumption	totalspecificcosts	seedsandplants	seedsandplantshomegrown	fertilisers	cropprotection	othercropspecific	feedforgrazinglivestock	feedforgrazinglivestockhomegrown	feedforpigspoultry	feedforpigspoultryhomegrown	otherlivestockspecificcosts	forestryspecificcosts	totalfarmingoverheads	machininerybuildingcurrentcosts	energy	contractwork	otherdirectinputs	depreciation	totalexternalfactors	wagespaid	rentpaid	interestpaid	taxes	vatbalanceexclinvest	balancesubsidiestaxesinvest	subsidiesoninvest	paymentstodairyoutgoers	vatoninvest	grossfarmincome	farmnetvalueadded	familyfarmincome	farmnetvalueaddedawu	awu	farmnetvalueaddedn	familyfarmincomefwu	fwu	familyfarmincomen	totalassets	totalfixedassets	landpermananentcropsquotas	buildings	machinery	breedinglivestock	totalcurrentassets	nonbreedinglivestock	stockofagriculturalproducts	othercirculatingcapital	totalliabilities	longmediumtermloans	shorttermloans	networth	changeinnetworth	averagefarmcapital	grossinvestment	netinvestment	cashflow1	cashflow2	balancecurrentsubsidiestaxes	totalsubsidiesexcludingoninvestm	totalsubsidiesoncrops	compensatorypaymentsareapayments	setasidepremiums	othercropssubsidies	totalsubsidiesonlivestock	subsidiesdairying	subsidiesothercattle	subsidiessheepgoats	otherlivestocksubsidies	othersubsidies	environmentalsubsidies	lfasubsidies	otherruraldevelopmentpayments	subsidiesonintermediateconsumpti	subsidiesonexternalfactors	decoupledpayments	singlefarmpayment	singleareapayment	additionalaid	farmsrepresented	samplefarms	exchangerate
441		1	"UKI"	8	4	43	214755	4310		2	1	2		1999	85086	0	0	24.2	0	2.072541	5366	5200	166	138.5	114.3	0	0		0	0	0	0	0	0	138.5	0	0	0	143.76	43.7	73.4	26.66	0	0	0	0	1.037978	138.5	143.76	3826.087	43.7	167200	80810.65	498.2746	0	0	0	0	0	0	0	0	0	0	0	0	498.2746	0	80312.38	-8094.23	48714.86	24401.16	0	6880.682	0	0	0	315.6771	0	90548.26	48374.42	29197.04	0	0	5261.285	201.1668	131.5321	17184.29	1050.709	0	0	6418.767	0	19177.38	7514.353	4696.47	2762.175	4204.385	21393.31	20780.53	1134.271	16441.51	3204.741	543.1503	0	0	0	0	0	60927.63	39534.32	18753.79	19075.29	2.072541	39534.32	9376.897	2	18753.79	606053.6	568481.8	435591	1.547437	59850.21	73039.01	37571.76	27203.94	10213.08	154.7437	51490.96	1.547437	51490.96	554562.6	-11129.16	166018.3	26972.65	5579.34	47617.72	30478.31	28491.4	29034.55	0	0	0	0	21948.84	0	7042.384	7192.486	7713.972	7085.712	5344.846	0	0	0	0	0	0	0	0	26.66667	1	.64623
441		1	"UKI"	7	4	41	215711	4110		2	1	2		1999	47819	0	0	38.4	0	1.369228	3869	3825	44	40.4	2	0	0		0	0	0	0	0	0	40.4	0	0	0	65.17	39.8	25.37	0	0	0	0	0	1.613119	40.4	65.17	5505.025	39.8	219100	75042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75042	4200.349	65292.54	9749.457	0	0	0	0	0	0	0	59310.15	38795.79	27056.93	0	0	3130.464	0	75.82439	17297.25	1381.861	0	0	6553.394	0	11738.85	2220.572	5481.021	583.3836	3453.879	17266.3	3248.07	300.2027	2011.668	936.1992	295.5604	0	18626.5	18626.5	0	0	37621.89	20355.59	35734.01	14866.47	1.369228	20355.59	26469.64	1.35	35734.01	456707.4	446904.3	376530	1.547437	36561.29	33811.49	9803.012	9439.363	0	363.6476	11605.78	1.547437	11605.78	445101.6	7283.784	76061.16	45868	28601.7	48505.95	8399.486	1375.671	1671.232	0	0	0	0	1671.232	0	1671.232	0	0	0	0	0	0	0	0	0	0	0	0	35.23809	1	.64623
441		1	"UKI"	7	4	44	215885	4410		2	2	2		1999	38535	0	0	219.8	0	1.989554	4388	4000	388	219.8	0	0	0		0	0	0	0	0	0	219.8	0	0	0	78.59	0	6.5	72.09	0	0	0	0	.3575523	219.8	78.59	0	0	0	20629.33	1114.154	0	0	0	0	0	0	0	0	0	0	0	0	1114.154	0	17074.87	-16003.14	0	-4444.604	0	18970.84	0	0	0	2548.628	2440.308	67687.98	38783.41	26238.34	0	0	3452.331	0	37.13848	12292.84	0	0	0	10456.03	0	12545.07	2796.218	2986.553	1677.421	5084.877	26249.17	2655.401	2655.401	0	0	524.5811	0	0	0	0	0	20353.88	-5895.283	-8550.684	-2963.117	1.989554	-5895.283	-4698.178	1.82	-8550.684	631386.7	593705	520746.5	1.547437	33961.59	38995.4	37681.63	30317.38	4642.31	2721.941	0	1.547437	0	631386.7	-30054.31	119247	-7656.462	-33905.63	33701.63	23227.03	38507.96	39032.54	0	0	0	0	32367.73	0	0	21851.35	10516.38	6664.81	5027.622	0	0	0	0	0	0	0	0	50	1	.64623
441		1	"UKI"	7	4	44	215886	4420		2	1	2		1999	31062	0	0	77.3	0	1.614035	4995	4940	55	83.2	5.9	0	0		0	0	0	0	0	0	83.2	0	0	0	72.87	0	41.56	31.31	0	0	0	0	.8758413	83.2	72.87	0	0	0	26592.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26592.13	3606.51	0	15735.6	0	10457.29	0	0	0	399.2386	0	46658.31	28935.52	17510.79	0	0	3932.037	210.4514	0	10593.75	0	0	0	2774.554	0	11424.72	2915.371	3051.545	1768.72	3689.089	7009.888	10712.9	372.9323	3039.166	7300.806	405.4284	0	0	0	0	0	21968.39	14958.5	4245.601	9267.771	1.614035	14958.5	2670.189	1.59	4245.601	478348.3	454471.3	399806.6	1.547437	12882.41	41780.79	23876.95	20209.52	2785.386	882.0389	11398.42	1.547437	11398.42	466949.8	68675.24	77528.9	2379.886	-4630.002	7648.979	-63848.79	24311.78	24717.21	0	0	0	0	22742.68	0	6926.327	8894.666	6921.684	1974.529	1974.529	0	0	0	0	0	0	0	0	40	1	.64623
441		1	"UKI"	4	8	81	215942	8130		1	1	2		1999	8455	0	0	20.4	0	1.009177	3336	3315	21	20.4	0	5.5	0		0	0	0	0	0	0	14.9	0	0	0	10.34	0	7.79	2.55	0	0	0	0	.6939597	14.9	10.34	0	0	0	7995.567	3633.381	3280.566	0	0	0	0	0	0	0	0	0	0	0	-557.0772	909.8928	2520.736	-8687.348	0	2161.054	0	331.8285	0	0	0	27.85386	1841.45	23593.77	13383.78	5437.692	1070.826	0	1067.731	615.8798	100.5834	2058.091	990.3595	0	0	524.5811	0	7946.087	2443.403	1398.883	1347.817	2755.985	9526.021	683.967	142.3642	0	541.6028	286.2758	0	0	0	0	0	-1925.049	-11451.07	-12135.04	-11346.94	1.009177	-11451.07	-12135.04	1	-12135.04	379934.4	372833.2	353381.9	1.547437	13646.84	5802.888	7101.187	3613.265	3218.668	269.254	0	1.547437	0	379934.4	2916.917	28932.42	3963.118	-5562.902	5118.92	-14767.19	3463.163	3749.439	1818.238	1818.238	0	0	1931.201	0	1468.517	462.6836	0	0	0	0	0	0	0	0	0	0	0	70	1	.64623
441		1	"UKI"	9	4	44	215943	4420		2	2	2		1999	292505	0	0	684	0	4.156245	10370	3360	7010	706.3	22.3	0	0		0	0	0	0	0	0	706.3	0	0	0	839.21	0	528.3	310.91	0	0	0	0	1.188178	706.3	839.21	0	0	0	131203.6	1299.847	0	0	0	0	0	0	0	0	0	0	0	0	1299.847	0	129903.7	-63754.86	0	42755.75	0	82289.04	0	0	0	4858.951	0	447927.2	260028.2	132944.9	464.231	0	30619.13	711.8209	464.231	60761.65	0	0	0	39923.87	0	127083.2	43351.44	12221.66	52109.93	19400.21	86326.85	101572.2	60452.16	3172.245	37947.79	747.4119	0	0	0	0	0	146042	59715.11	-41857.09	14367.56	4.156245	59715.11	-41857.09	1	-41857.09	3630610	3426243	2877360	1.547437	125658	423223.9	204366.9	175951.3	27853.86	561.7195	193999	1.547437	193999	3436611	140451.5	787190.3	18113.3	-68213.55	108224.6	-184972.8	274866.5	275613.9	0	0	0	0	242735.6	0	98449.47	79691.44	64594.65	32878.39	32878.39	0	0	0	0	0	0	0	0	23.63636	1	.64623
441		1	"UKI"	9	4	41	215944	4110		2	1	2		1999	159038	0	0	100.9	0	3.057501	7526	5200	2326	166.4	65.5	0	0		0	0	0	0	0	0	166.4	0	0	0	321.84	99.6	197.38	24.86	0	0	0	0	1.934135	166.4	321.84	5891.566	99.6	586800	265004.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263040.9	-3843.976	169942.6	75704.88	0	16789.91	0	0	0	603.5003	1963.697	258836.6	157543	109806.1	928.462	0	13509.12	1547.437	4255.451	63879.73	2983.458	0	0	25685.9	0	47736.88	18052.4	11607.32	9361.992	8715.163	52520	48773.66	17453.54	30159.54	1160.578	557.0772	0	0	0	0	0	126298.5	73778.54	25004.88	24130.34	3.057501	73778.54	12502.44	2	25004.88	1257045	1111897	897672.6	1.547437	111318	102904.5	145148	102904.5	18569.24	23674.23	0	1.547437	0	1257045	49697.48	334058.3	82381.53	29861.53	80773.1	-3517.323	18836.95	19394.02	0	0	0	0	19394.02	0	14392.71	5001.315	0	0	0	0	0	0	0	0	0	0	0	27.07965	1	.64623
441		1	"UKI"	9	4	41	215948	4110		1	1	2		1999	121666	0	0	47.2	0	1.932724	4552	2500	2052	73.5	26.3	0	0		0	0	0	0	0	0	73.5	0	0	0	150.72	104.4	46.32	0	0	0	0	0	2.050612	73.5	150.72	5777.778	104.4	603200	201019.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189198.9	-3862.379	171056.8	18142.17	0	0	0	0	0	0	11820.87	192092.6	123140.4	73603.83	1719.202	0	11602.68	481.2528	1324.606	36086.22	4964.177	0	0	22389.86	0	49536.54	24378.32	5139.037	11827.06	8192.13	23418.91	45533.32	8959.658	8611.485	27962.18	524.5811	0	0	0	0	0	80034.99	56616.09	11082.76	29293.42	1.932724	56616.09	11082.76	1	11082.76	965803.2	940038.4	799172.1	1.547437	33936.83	106927.9	25764.82	14159.05	11141.54	464.231	68197.08	1.547437	68197.08	897606.1	217342.1	173226.3	-3097.609	-26516.52	37837.92	-208328.3	2155.579	2680.16	1612.429	1612.429	0	0	263.0642	263.0642	0	0	0	0	0	0	0	0	804.6671	0	0	0	0	27.07965	1	.64623
441		1	"UKI"	7	4	42	215995	4210		2	1	2		1999	40585	0	0	56.9	0	1.930539	5047	5000	47	56.9	0	0	0		0	0	0	0	0	0	56.9	0	0	0	131.18	0	124.33	6.85	0	0	0	0	2.305448	56.9	131.18	0	0	0	43916.62	-77.37183	0	0	0	0	0	0	0	0	0	0	0	0	-77.37183	0	36501.3	-1844.18	0	26415.45	0	4086.439	0	0	0	5999.412	7492.688	61270.75	35587.95	20085.73	752.0542	0	5853.953	321.8668	928.462	8716.711	0	0	0	3512.681	0	15502.22	6807.174	3333.178	0	5361.868	22266.07	3416.74	321.8668	0	3094.873	711.8209	0	0	0	0	0	34229.66	11963.6	8546.857	6197.025	1.930539	11963.6	4474.794	1.91	8546.857	685772.9	637283.9	540022.9	1.547437	48902.09	48357.39	48488.93	44473.33	3713.848	301.7502	9284.62	1.547437	9284.62	676488.3	-2355.199	151485.5	9441.444	-12824.62	32734.47	11200.35	25900.99	26612.82	0	0	0	0	26612.82	0	20930.63	1839.902	3842.285	0	0	0	0	0	0	0	0	0	0	33.125	1	.64623
441		1	"UKI"	9	4	41	216068	4110		1	1	2		1999	141744	0	0	59.2	0	3.061973	7902	7600	302	95.6	36.4	0	0		0	0	0	0	0	0	95.6	0	0	0	202.64	116.3	86.34	0	0	0	0	0	2.119665	95.6	202.64	5793.637	116.3	673800	218423	-278.5386	0	0	0	0	0	0	0	0	0	0	0	0	0	-278.5386	211501.3	-20476.5	193508.5	17992.77	0	0	0	0	0	0	7200.223	172062.6	102280.9	70485.74	318.7719	0	15557.93	301.7502	974.8851	40026	3280.566	0	0	13306.41	0	31795.18	12628.63	9157.73	1098.68	8910.141	50305.62	19476.04	2067.375	11837.89	5570.772	468.8733	0	0	0	0	0	115673.2	65367.55	45891.51	21348.18	3.061973	65367.55	15662.63	2.93	45891.51	1299064	1233569	1060299	1.547437	96515.17	76752.86	65495.26	46771.27	18569.24	154.7437	61897.47	1.547437	61897.47	1237166	-56278.73	261600.4	-28448.22	-78753.84	116860.9	101154.4	-468.8733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.07965	1	.64623
